B1	B2	B3	N_l1	N_l2	N_l3	N_t	C_l1	C_l2	C_l3	C_t	Diff(C_t - N_t)	LessThanZero
1	16	8	125591	160044	104285	1617	168790	137267	13938	2060	443	no
1	16	16	126108	158570	20057	1399	195347	149028	7844	1662	263	no
1	16	16	125539	162021	104689	1983	147546	143930	2031	2287	304	no
1	16	16	126040	160209	17806	1436	191922	147187	7313	1638	202	no
1	16	16	125464	159665	104189	1883	188506	146487	8623	2019	136	no
1	16	16	125668	160292	17834	1432	151117	143368	7258	1682	250	no
1	16	16	130667	186023	61527	2098	190982	142684	37399	1927	-171	yes
1	16	16	126070	160004	19460	1383	193493	147009	7394	1723	340	no
1	16	16	125525	161484	65145	2132	148450	146351	56561	2809	677	no
1	16	16	126231	158878	32318	1506	198503	146907	22028	1808	302	no
1	16	16	125500	159143	49275	1724	147958	140911	43668	2246	522	no
1	16	32	125489	162024	17264	1406	138562	150264	7790	1561	155	no
1	16	32	125919	162653	45819	1481	161143	159905	22353	1582	101	no
1	16	32	125532	164320	17669	1440	136072	154470	7112	1534	94	no
1	16	32	125594	165656	104269	1636	136536	155885	1497	1799	163	no
1	16	32	126064	159440	17857	1353	162868	156984	6958	1473	120	no
1	16	32	125587	166014	44809	1690	137733	153535	29949	1826	136	no
1	16	32	125548	159003	17183	1421	137916	147472	6650	1580	159	no
1	16	32	125907	165152	103003	1670	164185	163516	41980	1940	270	no
1	16	32	125919	163963	40501	1410	161908	160062	22523	1637	227	no
1	16	32	125511	161599	43464	1654	136989	152580	25941	1876	222	no
1	16	64	125586	166073	22538	1482	127073	165269	9361	1508	26	no
1	16	64	125492	162708	103734	1605	127068	160219	13466	1594	-11	yes
1	16	64	125515	164677	18420	1469	127133	166073	8341	1591	122	no
1	16	64	125521	158793	104136	1783	127031	158320	44947	1923	140	no
1	16	64	125959	157924	38150	1330	127551	157569	19396	1635	305	no
1	16	64	125930	163973	103932	1885	127708	159074	43071	1822	-63	yes
1	16	64	125773	163519	28850	1563	127590	155718	19913	1566	3	no
1	16	64	125547	164821	49040	1711	127213	163207	23486	1767	56	no
1	16	64	125503	163508	18358	1416	127072	163212	6917	1522	106	no
1	16	64	125569	163960	104186	1947	127197	160912	7211	2042	95	no
1	32	1	125565	159700	19075	1475	1123135	166141	8870	4472	2997	no
1	32	1	126120	159579	45124	1679	1103568	165154	44695	5500	3821	no
1	32	1	125669	160386	19165	1456	1117402	178799	15823	4598	3142	no
1	32	1	125547	158015	103957	1714	1120370	177375	25408	5197	3483	no
1	32	1	125634	159324	15286	1412	1113761	167074	6816	4291	2879	no
1	32	1	126240	159759	102725	1695	1104857	166727	33436	5485	3790	no
1	32	1	125652	162987	64260	1546	1117370	169916	37423	4566	3020	no
1	32	1	125576	157568	30935	1460	1116874	185691	15913	4423	2963	no
1	32	1	125552	160107	104130	2183	1122711	166932	14388	6732	4549	no
1	32	1	126192	161263	103069	1864	1111419	195911	51012	5910	4046	no
1	32	2	125550	156445	104255	1667	589417	205653	12966	4608	2941	no
1	32	2	125487	159543	30944	1490	589744	158336	21964	3532	2042	no
1	32	2	125541	160945	42398	1628	591757	153807	18734	3774	2146	no
1	32	2	125595	158665	20658	1446	588991	159418	9917	3384	1938	no
1	32	2	126211	161065	103028	1781	577610	162985	30113	4270	2489	no
1	32	2	125880	156924	20336	1384	573672	168110	25414	3577	2193	no
1	32	2	126148	163950	103306	2122	576235	167940	29987	5215	3093	no
1	32	2	125585	162839	17620	1441	590473	160947	7597	3352	1911	no
1	32	2	125561	157748	104737	1885	589185	151615	37071	4421	2536	no
1	32	2	125504	155235	18288	1433	590821	155377	16326	3396	1963	no
1	32	4	125561	157970	28011	1590	368114	153325	23826	3164	1574	no
1	32	4	125588	161135	45277	1694	794071	157749	20086	3367	1673	no
1	32	4	125523	158760	19585	1454	367841	152819	7311	2954	1500	no
1	32	4	125445	160269	103877	1623	367709	160339	16725	3184	1561	no
1	32	4	125538	163196	15793	1449	368395	158102	5761	2992	1543	no
1	32	4	125556	160139	103957	1598	367903	155517	5586	3315	1717	no
1	32	4	125531	158923	20713	1465	779553	180284	23071	3111	1646	no
1	32	4	125483	160871	42683	1698	367703	158417	31363	3510	1812	no
1	32	4	125496	160402	46367	1764	790601	155459	41215	3734	1970	no
1	32	4	125514	161351	103978	1735	368281	153709	12554	3658	1923	no
1	32	8	125894	159492	19247	1347	244834	147483	8683	1912	565	no
1	32	8	125542	157863	103996	1608	232850	144611	12911	2198	590	no
1	32	8	125490	155433	17890	1422	233669	144457	5195	1938	516	no
1	32	8	125481	160138	104140	1734	234465	150547	25656	2344	610	no
1	32	8	125451	155366	45284	1568	232807	144608	28187	2244	676	no
1	32	8	125844	157912	15351	1366	244436	143688	6261	1924	558	no
1	32	8	125499	162495	103992	1755	234161	151668	11302	2204	449	no
1	32	8	125482	156995	17964	1395	233892	141261	8222	1972	577	no
1	32	8	125499	162556	103852	1609	234066	153333	1206	2125	516	no
1	32	8	125575	158592	103977	1747	244439	137996	11274	2171	424	no
1	32	16	125618	154793	18351	1376	181920	138686	7842	1732	356	no
1	32	16	125466	158837	104122	1733	279150	148011	44971	1935	202	no
1	32	16	125838	159482	102403	1779	279255	148505	50769	2054	275	no
